1980:Aaron sex(MALE),count(35)
1980:Aasia sex(FEMALE),count(1)
1980:Ab sex(MALE),count(1)
1980:Abbed sex(MALE),count(1)
1980:Abbie sex(FEMALE),count(4)
1980:Abby sex(FEMALE),count(2)
1980:Abd sex(MALE),count(1)
1980:Abdel sex(MALE),count(1)
1980:Abdul sex(MALE),count(8)
1980:Abed sex(MALE),count(1)
1980:Abhishek sex(MALE),count(1)
1980:Abid sex(MALE),count(1)
1980:Abigail sex(FEMALE),count(9)
1980:Abimbola sex(MALE),count(1)
1980:Abiodun sex(FEMALE),count(1)
1980:Ablah sex(FEMALE),count(1)
1980:Abraham sex(MALE),count(1)
1980:Abrar sex(MALE),count(1)
1980:Abul sex(MALE),count(1)
1980:Acia sex(FEMALE),count(1)
1980:Adaego sex(FEMALE),count(1)
1980:Adam sex(MALE),count(125)
1980:Addel sex(MALE),count(1)
1980:Addolorata sex(FEMALE),count(1)
1980:Addrie sex(MALE),count(1)
1980:Adebajo sex(MALE),count(1)
1980:Adeel sex(MALE),count(2)
1980:Adeile sex(FEMALE),count(1)
1980:Adele sex(FEMALE),count(38)
1980:Adelene sex(FEMALE),count(1)
1980:Adeline sex(FEMALE),count(3)
1980:Adelle sex(FEMALE),count(4)
1980:Adene sex(FEMALE),count(1)
1980:Adenrele sex(MALE),count(1)
1980:Adetayo sex(MALE),count(1)
1980:Adetokunbo sex(MALE),count(2)
1980:Adewale sex(MALE),count(1)
1980:Adil sex(MALE),count(1)
1980:Adin sex(MALE),count(1)
1980:Aditi sex(FEMALE),count(1)
1980:Adnan sex(MALE),count(4)
1980:Adrian sex(MALE),count(18)
1980:Adriana sex(FEMALE),count(4)
1980:Adrianna sex(FEMALE),count(1)
1980:Adrianne sex(FEMALE),count(1)
1980:Adriano sex(MALE),count(2)
1980:Adrien sex(MALE),count(2)
1980:Adrienne sex(FEMALE),count(3)
1980:Afartei sex(MALE),count(1)
1980:Affizza sex(FEMALE),count(1)
1980:Afran sex(MALE),count(1)
1980:Afshan sex(FEMALE),count(1)
1980:Aftab sex(MALE),count(1)
1980:Agnes sex(FEMALE),count(19)
1980:Ahlun sex(MALE),count(1)
1980:Ahmad sex(MALE),count(3)
1980:Ahmed sex(MALE),count(2)
1980:Ahmmad sex(MALE),count(1)
1980:Aicha sex(FEMALE),count(1)
1980:Aidan sex(MALE),count(10)
1980:Aiden sex(MALE),count(1)
1980:Ailean sex(MALE),count(1)
1980:Aileen sex(FEMALE),count(68)
1980:Ailie sex(FEMALE),count(8)
1980:Ailis sex(FEMALE),count(1)
1980:Ailish sex(FEMALE),count(1)
1980:Ailsa sex(FEMALE),count(32)
1980:Aimee sex(FEMALE),count(13)
1980:Aimi sex(FEMALE),count(3)
1980:Aimie sex(FEMALE),count(1)
1980:Ainsley sex(FEMALE),count(12)
1980:Ainslie sex(FEMALE),count(2)
