1975:Aaron sex(MALE),count(22)
1975:Aaron-Howard sex(MALE),count(1)
1975:Aasha sex(FEMALE),count(1)
1975:Aasiya sex(FEMALE),count(1)
1975:Abbi sex(FEMALE),count(1)
1975:Abbie sex(FEMALE),count(1)
1975:Abby sex(FEMALE),count(3)
1975:Abdah sex(FEMALE),count(1)
1975:Abdulraheem sex(MALE),count(1)
1975:Abhay sex(MALE),count(1)
1975:Abie sex(MALE),count(1)
1975:Abigail sex(FEMALE),count(11)
1975:Abigale sex(FEMALE),count(1)
1975:Abudul sex(MALE),count(1)
1975:Adam sex(MALE),count(63)
1975:Adamo sex(MALE),count(1)
1975:Addie sex(FEMALE),count(1)
1975:Adel sex(FEMALE),count(1)
1975:Adele sex(FEMALE),count(39)
1975:Adeline sex(FEMALE),count(2)
1975:Adelle sex(FEMALE),count(2)
1975:Aden sex(MALE),count(1)
1975:Adetokunbo sex(FEMALE),count(1)
1975:Adhamh sex(MALE),count(1)
1975:Adina sex(FEMALE),count(1)
1975:Adinon sex(MALE),count(1)
1975:Adlin sex(FEMALE),count(1)
1975:Adrian sex(MALE),count(37)
1975:Adrian sex(FEMALE),count(1)
1975:Adriane sex(FEMALE),count(1)
1975:Adriano sex(MALE),count(1)
1975:Adrienne sex(FEMALE),count(4)
1975:Adryan sex(MALE),count(1)
1975:Afsheen sex(FEMALE),count(1)
1975:Aftab sex(MALE),count(1)
1975:Afton sex(FEMALE),count(1)
1975:Afzal sex(MALE),count(1)
1975:Agata sex(FEMALE),count(1)
1975:Agnes sex(FEMALE),count(33)
1975:Ahisat sex(FEMALE),count(1)
1975:Ahmad sex(MALE),count(3)
1975:Ahmed sex(MALE),count(2)
1975:Aidan sex(MALE),count(6)
1975:Aileen sex(FEMALE),count(87)
1975:Ailie sex(FEMALE),count(3)
1975:Ailith sex(FEMALE),count(1)
1975:Ailsa sex(FEMALE),count(32)
1975:Aimee sex(FEMALE),count(2)
1975:Aimon sex(MALE),count(1)
1975:Ainsley sex(FEMALE),count(4)
1975:Ainslie sex(FEMALE),count(3)
1975:Aisling sex(FEMALE),count(1)
1975:Aitken sex(MALE),count(1)
1975:Ajay sex(MALE),count(1)
1975:Akass sex(MALE),count(1)
1975:Akua sex(FEMALE),count(1)
1975:Ala sex(FEMALE),count(1)
1975:Alaistair sex(MALE),count(2)
1975:Alaister sex(MALE),count(1)
1975:Alan sex(MALE),count(715)
1975:Alana sex(FEMALE),count(12)
1975:Alana-Jayne sex(FEMALE),count(1)
1975:Alanna sex(FEMALE),count(3)
1975:Alasdair sex(MALE),count(85)
1975:Alasdhair sex(MALE),count(1)
1975:Alastair sex(MALE),count(102)
1975:Alayna sex(FEMALE),count(1)
1975:Albert sex(MALE),count(6)
1975:Alberto sex(MALE),count(1)
1975:Alec sex(MALE),count(2)
1975:Aled sex(MALE),count(1)
1975:Alena sex(FEMALE),count(1)
1975:Alene sex(FEMALE),count(1)
1975:Alesha sex(FEMALE),count(1)
1975:Alessia sex(FEMALE),count(1)
1975:Alethea sex(FEMALE),count(1)
1975:Aletia sex(FEMALE),count(1)
1975:Alex sex(MALE),count(9)
1975:Alexa sex(FEMALE),count(1)
1975:Alexander sex(MALE),count(370)
1975:Alexandra sex(MALE),count(1)
1975:Alexandra sex(FEMALE),count(42)
1975:Alexandrea sex(FEMALE),count(2)
1975:Alexandria sex(FEMALE),count(8)
1975:Alexandrina sex(FEMALE),count(1)
1975:Alexina sex(FEMALE),count(1)
1975:Alexine sex(FEMALE),count(1)
1975:Alexis sex(MALE),count(1)
1975:Alexis sex(FEMALE),count(16)
1975:Alexs sex(MALE),count(1)
1975:Alexzander sex(MALE),count(1)
1975:Alfred sex(MALE),count(5)
1975:Ali sex(MALE),count(1)
1975:Alia sex(FEMALE),count(1)
1975:Alice sex(FEMALE),count(24)
1975:Alicia sex(FEMALE),count(2)
1975:Alick sex(MALE),count(2)
1975:Alieu sex(MALE),count(1)
1975:Alina sex(FEMALE),count(2)
1975:Alinda sex(FEMALE),count(1)
1975:Aline sex(FEMALE),count(4)
1975:Alisdair sex(MALE),count(16)
1975:Alison sex(FEMALE),count(424)
1975:Alison-Lindsay sex(FEMALE),count(1)
1975:Alissa sex(FEMALE),count(1)
1975:Alistair sex(MALE),count(139)
1975:Alister sex(MALE),count(11)
1975:Alix sex(FEMALE),count(1)
1975:Allan sex(MALE),count(259)
1975:Allana sex(FEMALE),count(6)
1975:Alleen sex(FEMALE),count(1)
1975:Allen sex(MALE),count(7)
1975:Allena sex(FEMALE),count(1)
1975:Allison sex(FEMALE),count(73)
1975:Allister sex(MALE),count(3)
1975:Ally sex(FEMALE),count(1)
1975:Allyn sex(MALE),count(1)
1975:Allyson sex(FEMALE),count(5)
1975:Almas sex(FEMALE),count(1)
1975:Alok sex(MALE),count(1)
1975:Alun sex(MALE),count(6)
1975:Alvin sex(MALE),count(1)
1975:Alwyn sex(FEMALE),count(1)
1975:Aly sex(MALE),count(1)
1975:Alya sex(FEMALE),count(1)
1975:Alyn sex(MALE),count(1)
1975:Alyson sex(FEMALE),count(14)
1975:Amal sex(FEMALE),count(1)
1975:Amalia sex(FEMALE),count(1)
1975:Amanda sex(FEMALE),count(457)
1975:Amanda-Jane sex(FEMALE),count(1)
1975:Amar sex(MALE),count(1)
1975:Amaryllis sex(FEMALE),count(1)
1975:Amber sex(FEMALE),count(8)
1975:Ambrina sex(FEMALE),count(1)
1975:Amelia sex(FEMALE),count(4)
1975:Amer sex(MALE),count(1)
1975:Amerjit sex(FEMALE),count(1)
1975:Amie sex(FEMALE),count(1)
1975:Amit sex(MALE),count(1)
1975:Amjed sex(MALE),count(1)
1975:Ammar sex(MALE),count(1)
1975:Ammara sex(FEMALE),count(1)
1975:Amna sex(FEMALE),count(1)
1975:Amnar sex(MALE),count(1)
1975:Amurwon sex(FEMALE),count(1)
1975:Amy sex(FEMALE),count(18)
1975:Ana sex(FEMALE),count(1)
1975:Anamari sex(FEMALE),count(1)
1975:Andre sex(MALE),count(2)
1975:Andrea sex(MALE),count(2)
1975:Andrea sex(FEMALE),count(149)
1975:Andreana sex(FEMALE),count(1)
1975:Andreas sex(MALE),count(2)
1975:Andree sex(FEMALE),count(2)
1975:Andrena sex(FEMALE),count(11)
1975:Andrene sex(FEMALE),count(1)
1975:Andres sex(MALE),count(2)
1975:Andrew sex(MALE),count(1032)
1975:Andrew sex(FEMALE),count(2)
1975:Andrew-George sex(MALE),count(1)
1975:Andrina sex(FEMALE),count(5)
1975:Andy sex(MALE),count(1)
1975:Anest sex(FEMALE),count(1)
1975:Angela sex(FEMALE),count(635)
1975:Angela-Louise sex(FEMALE),count(1)
1975:Angela-May sex(FEMALE),count(1)
1975:Angelene sex(FEMALE),count(2)
1975:Angeli sex(FEMALE),count(1)
1975:Angelina sex(FEMALE),count(5)
1975:Angeline sex(FEMALE),count(8)
