1982:Alyn sex(MALE),count(1)
1982:Alynna sex(FEMALE),count(1)
1982:Alys sex(FEMALE),count(1)
1982:Alysha sex(FEMALE),count(2)
1982:Alyshia sex(FEMALE),count(1)
1982:Alyson sex(FEMALE),count(21)
1982:Amal sex(FEMALE),count(3)
1982:Amanda sex(FEMALE),count(313)
1982:Amanda-Jane sex(FEMALE),count(1)
1982:Amani sex(FEMALE),count(1)
1982:Amar sex(MALE),count(6)
1982:Amber sex(FEMALE),count(12)
1982:Ambreen sex(FEMALE),count(1)
1982:Ameer sex(MALE),count(2)
1982:Ameerali sex(MALE),count(1)
1982:Amelia sex(FEMALE),count(6)
1982:Amelie sex(FEMALE),count(1)
1982:Amer sex(MALE),count(1)
1982:Ami sex(FEMALE),count(3)
1982:Amie sex(FEMALE),count(1)
1982:Amiee sex(FEMALE),count(1)
1982:Amin sex(MALE),count(1)
1982:Amina sex(FEMALE),count(4)
1982:Aminulhakim sex(MALE),count(1)
1982:Amir sex(MALE),count(1)
1982:Amira sex(FEMALE),count(2)
1982:Amit sex(MALE),count(1)
1982:Amjad sex(MALE),count(1)
1982:Ammara sex(FEMALE),count(1)
1982:Amna sex(FEMALE),count(1)
1982:Amrit sex(FEMALE),count(2)
1982:Amy sex(FEMALE),count(126)
1982:Amyra sex(FEMALE),count(1)
1982:Ana sex(FEMALE),count(1)
1982:Anahita sex(FEMALE),count(1)
1982:Anamika sex(FEMALE),count(1)
1982:Anas sex(MALE),count(1)
1982:Anastasios sex(MALE),count(1)
1982:Anber sex(FEMALE),count(1)
1982:Anderson sex(MALE),count(1)
1982:Andina sex(FEMALE),count(1)
1982:Andrea sex(FEMALE),count(87)
1982:Andreanne sex(FEMALE),count(1)
1982:Andreas sex(MALE),count(2)
1982:Andreen sex(FEMALE),count(1)
1982:Andrena sex(FEMALE),count(4)
1982:Andres sex(MALE),count(2)
1982:Andrew sex(MALE),count(1197)
1982:Andrewina sex(FEMALE),count(1)
1982:Andrina sex(FEMALE),count(4)
1982:Andy sex(MALE),count(2)
